,model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
7,LCL_TFT_C0FF_1,749993,15.00051,1773.739,0,False,40
8,LCL_TFT_C0FF_1,849961,15.00198,1808.817,0,False,40
9,LCL_TFT_C0FF_1,949993,15.0005,1810.869,0,False,40
10,LCL_TFT_C0FF_1,1000041,15.00867,1814.939,0,False,40
0,LCL_TFT_P0TT_1,49981,15.0092,1576.701,1,False,40
1,LCL_TFT_P0TT_1,149998,15.00908,1452.615,1,False,40
2,LCL_TFT_P0TT_1,249947,15.00856,1611.756,3,False,40
3,LCL_TFT_P0TT_1,349959,15.00443,1755.326,0,False,40
4,LCL_TFT_P0TT_1,449984,15.01254,1772.907,2,False,40
5,LCL_TFT_P0TT_1,549968,15.00083,1745.758,0,False,40
6,LCL_TFT_P0TT_1,649941,15.00135,1769.314,0,False,40
7,LCL_TFT_P0TT_1,749973,15.00113,1823.649,0,False,40
8,LCL_TFT_P0TT_1,849941,15.00533,1830.625,0,False,40
9,LCL_TFT_P0TT_1,949973,15.00845,1830.959,0,False,40
10,LCL_TFT_P0TT_1,1000021,15.00535,1830.647,0,False,40
0,LLC_FFF_C0FF_10,49999,30.00488,2941.634,6,False,40
1,LLC_FFF_C0FF_10,149986,30.01236,3144.92,10,False,40
2,LLC_FFF_C0FF_10,249948,30.00777,2872.331,9,False,40
3,LLC_FFF_C0FF_10,349989,30.00706,2850.317,8,False,40
4,LLC_FFF_C0FF_10,449948,30.00801,2616.977,9,False,40
5,LLC_FFF_C0FF_10,549944,30.00107,4448.778,1,False,40
6,LLC_FFF_C0FF_10,649942,30.00018,4461.91,0,False,40
7,LLC_FFF_C0FF_10,749974,30.00454,4906.723,0,False,40
8,LLC_FFF_C0FF_10,849985,30.01003,5494.05,0,False,40
9,LLC_FFF_C0FF_10,949954,30.00324,6465.794,1,False,40
10,LLC_FFF_C0FF_10,1000023,30.00423,6692.167,0,False,40
11,LLC_FFF_C0FF_10,49999,30.00661,2890.792,7,False,40
12,LLC_FFF_C0FF_10,149986,30.00499,2858.801,10,False,40
13,LLC_FFF_C0FF_10,249948,30.0034,3662.766,8,False,40
14,LLC_FFF_C0FF_10,349989,30.00345,3679.399,6,False,40
15,LLC_FFF_C0FF_10,449948,30.00748,5035.335,2,False,40
16,LLC_FFF_C0FF_10,549944,30.00885,3450.389,2,False,40
